Episode Number,Pitch Number,Brand,Idea,Investment Amount (In Lakhs INR) ,Debt (In lakhs INR),Equity,Anupam,Ashneer,Namita,Aman,Peyush,Vineeta,Ghazal,Amit,Season,Anupam Mittal,Ashneer Grover,Namita Thapar,Aman Gupta,Peyush Bansal,Vineeta Singh,Ghazal Alagh,Amit Jain,Sharks
47,306,TheBigBookBox ChapterOneBooks,Education,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
48,307,Rubans,Retail and Fashion,100000000,,1%,N,N,Y,Y,N,Y,N,N,2,,,Namita Thapar,Aman Gupta,,Vineeta Singh,,,
48,308,SameNotification,Technology,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
48,309,BottomLineSprays,Retail and Fashion,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
48,310,LilGoodness,Food and Beverages,5000000,,1%,N,N,N,N,Y,N,N,N,2,,,,,Peyush Bansal,,,,
49,311,ForeverModest,Retail and Fashion,2000000,,20%,Y,N,Y,N,N,Y,N,Y,2,Anupam Mittal,,Namita Thapar,,,Vineeta Singh,,Amit Jain,
49,312,Sahayatha,Health and Fitness,100000000,,10%,Y,N,Y,Y,Y,N,N,Y,2,Anupam Mittal,,Namita Thapar,Aman Gupta,Peyush Bansal,,,Amit Jain,
49,313,WickedGud,Food and Beverages,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
49,314,maisha,Accessories,1000000,,1%,N,N,N,N,N,N,N,Y,2,,,,,,,,Amit Jain,
50,315,NishHair,Retail and Fashion,100000000,,2%,N,N,N,N,N,N,N,Y,2,,,,,,,,Amit Jain,
50,316,MYBYK,Transportation,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
51,317,GODESi,Food and Beverages,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
